Player,Team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,PCT_FGA_trans,PCT_FGM_ast,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.
KEITH.CLEMONS_Loyola Chicago,Loyola Chicago,5,5,150.25,244,43,1,6,7,2,0,2,9,0.182,0.733,0.608,0.591,15,33,0.455,9,18,0.5,4,5,0.8,6,10,0.6,0,5,0
KEITH.HAYMON_Northern Ariz.,Northern Ariz.,4,4,125.5,226,37,0,7,0,0,0,6,7,0.342,0.786,0.487,0.487,14,38,0.368,9,25,0.36,0,0,0,1,1,1,4,12,0.333
KEITH.LAMAR_Stetson,Stetson,2,0,15.917,35,2,5,4,0,0,0,1,0,0.25,0,0.202,0.25,1,4,0.25,0,2,0,0,2,0,1,1,1,0,1,0
KEITH.LITTLES_Florida A&M,Florida A&M,5,0,28.582,63,2,0,2,3,0,0,3,2,0,1,0.333,0.333,1,3,0.333,0,1,0,0,0,0,1,1,1,0,1,0
KEITH.SMITH_Cal Poly,Cal Poly,6,6,187.166,333,37,0,19,26,9,0,17,14,0.189,0.538,0.448,0.405,13,37,0.351,4,13,0.308,7,9,0.778,6,17,0.353,3,7,0.429
KEITH.WILLIAMS_Cincinnati,Cincinnati,9,9,248.382,480,119,13,22,33,11,6,20,18,0.303,0.333,0.451,0.408,39,109,0.358,11,33,0.333,30,48,0.625,22,46,0.478,6,30,0.2
KELLAN.GRADY_Davidson,Davidson,5,5,172.516,278,78,0,20,14,3,1,7,5,0.19,0.607,0.56,0.532,28,63,0.444,11,35,0.314,11,14,0.786,12,16,0.75,5,12,0.417
KELLEN.AMOS_Binghamton,Binghamton,1,0,2.584,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KELLEN.TYNES_Montana St.,Montana St.,7,0,122.733,230,39,1,16,1,12,0,1,13,0.435,0,0.628,0.565,13,23,0.565,0,3,0,13,17,0.765,7,8,0.875,6,12,0.5
KELLON.TAYLOR_Albany (NY),Albany (NY),3,3,90.534,156,26,1,6,6,2,1,9,11,0.222,0.5,0.61,0.556,10,18,0.556,0,2,0,6,7,0.857,8,11,0.727,2,5,0.4
KELTON.EDWARDS_Grambling,Grambling,8,3,111.583,216,38,4,9,1,4,2,7,5,0.195,0.562,0.415,0.402,16,41,0.39,1,8,0.125,5,10,0.5,10,13,0.769,5,20,0.25
KELTON.TALFORD_Winthrop,Winthrop,3,0,38.5,77,19,6,5,0,2,0,1,4,0.143,0.5,0.843,0.857,6,7,0.857,0,0,0,7,9,0.778,4,4,1,2,3,0.667
KEN.EVANS_Jackson St.,Jackson St.,7,1,99.433,191,20,7,12,11,6,0,6,0,0.435,0.75,0.394,0.348,8,23,0.348,0,3,0,4,5,0.8,4,9,0.444,4,11,0.364
KENAN.BLACKSHEAR_Fla. Atlantic,Fla. Atlantic,6,6,154.265,303,53,6,14,10,11,1,13,20,0.235,0.154,0.544,0.456,13,34,0.382,5,14,0.357,22,31,0.71,4,10,0.4,4,10,0.4
KENAN.SARVAN_Coppin St.,Coppin St.,4,1,73,152,10,3,10,3,3,0,5,8,0.118,0.333,0.265,0.206,3,17,0.176,1,14,0.071,3,4,0.75,2,2,1,0,1,0
KENDAL.COLEMAN_Northwestern St.,Northwestern St.,9,0,144.268,294,53,24,35,1,4,9,6,19,0.233,0.45,0.514,0.465,20,43,0.465,0,0,0,13,18,0.722,19,29,0.655,1,14,0.071
KENDALL.MCHUGH_Idaho,Idaho,1,0,8.233,16,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
KENDALL.MUNSON_Pepperdine,Pepperdine,1,0,1.733,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENDALL.WALL_Alabama,Alabama,1,0,2.033,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENDLE.MOORE_Colorado St.,Colorado St.,6,6,177.867,316,61,5,10,7,6,1,13,18,0.309,0.476,0.502,0.455,21,55,0.382,8,34,0.235,11,12,0.917,9,16,0.562,4,5,0.8
KENDRIC.DAVIS_SMU,SMU,1,1,38.384,76,35,0,2,4,3,0,1,3,0.412,0.222,0.698,0.647,9,17,0.529,4,7,0.571,13,17,0.765,3,5,0.6,2,5,0.4
KENDRICK.GILBERT_UNLV,UNLV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENE.CHUKWUKA_Pepperdine,Pepperdine,3,1,66.349,126,13,1,8,0,0,2,1,7,0.25,1,0.468,0.417,4,12,0.333,2,10,0.2,3,4,0.75,1,1,1,1,1,1
KENNEDY.KOEHLER_UC Davis,UC Davis,6,6,163.967,287,26,9,20,8,4,4,9,20,0.171,0.5,0.335,0.3,10,35,0.286,1,13,0.077,5,8,0.625,7,13,0.538,2,9,0.222
KENNETH.HALL_Western Caro.,Western Caro.,4,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENNETH.JONES_Loyola Maryland,Loyola Maryland,7,3,164.547,301,28,3,8,19,3,2,10,15,0.074,0.8,0.493,0.481,10,27,0.37,6,21,0.286,2,3,0.667,4,6,0.667,0,0,0
KENNETH.LOFTON_Louisiana Tech,Louisiana Tech,4,4,100.8,186,48,9,17,8,4,3,9,9,0.147,0.55,0.612,0.588,20,34,0.588,0,0,0,8,11,0.727,20,30,0.667,0,4,0
KENNETH.NWUBA_UCLA,UCLA,4,0,20.334,37,0,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENNY.COOPER_Western Ky.,Western Ky.,7,1,80.102,149,14,1,6,5,4,2,9,6,0.231,0,0.47,0.423,5,13,0.385,1,8,0.125,3,4,0.75,1,2,0.5,3,3,1
KENNY.FOSTER_Wyoming,Wyoming,4,1,77.899,145,19,2,7,5,0,1,4,6,0.111,1,0.466,0.444,6,18,0.333,4,11,0.364,3,5,0.6,2,6,0.333,0,1,0
KENNY.STRAWBRIDGE_Alabama St.,Alabama St.,6,5,178.232,355,65,7,32,6,6,3,8,14,0.322,0.333,0.465,0.398,21,59,0.356,5,18,0.278,18,23,0.783,10,20,0.5,6,21,0.286
KENTON.ESKRIDGE_UT Martin,UT Martin,1,1,17.417,31,3,0,4,3,0,0,1,2,0,1,0.25,0.25,1,6,0.167,1,3,0.333,0,0,0,0,1,0,0,2,0
KENTRELL.GARNETT_Louisiana,Louisiana,5,0,38.55,77,7,0,3,2,3,0,1,5,0.364,0.5,0.293,0.227,2,11,0.182,1,9,0.111,2,2,1,1,2,0.5,0,0,0
KENYON.DULING_N.C. A&T,N.C. A&T,3,0,20.749,40,5,1,1,1,0,0,0,2,0,0,0.649,1,1,1,1,0,0,0,3,6,0.5,0,0,0,1,1,1
KEON.AMBROSEHYLTON_Alabama,Alabama,1,0,3.684,9,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
